GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
GPR52,0.0,0.0,1.0,1.0,0.0
SUCNR1,1.0,1.0,0.0,0.0,0.0
HTR2A,0.0,1.0,0.0,0.0,0.0
ADORA1,0.0,0.0,1.0,1.0,0.0
ADRA1B,0.0,1.0,0.0,0.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
DRD1,0.0,0.0,1.0,1.0,0.0
CHRM1,0.0,1.0,1.0,0.0,0.0
CHRM2,0.0,1.0,1.0,0.0,0.0
AVPR1B,0.0,1.0,0.0,0.0,0.0
MC1R,0.0,0.0,0.0,1.0,0.0
MC3R,0.0,0.0,0.0,1.0,0.0
MC4R,0.0,0.0,0.0,1.0,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
LPAR1,1.0,1.0,0.0,0.0,0.0
CCKAR,1.0,0.0,0.0,0.0,0.0
SSTR2,1.0,0.0,0.0,0.0,0.0
