GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
SUCNR1,1.0,0.0,0.0,0.0,0.0
OXGR1,1.0,0.0,0.0,0.0,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR2A,0.0,1.0,0.0,0.0,0.0
ADORA1,0.0,0.0,1.0,1.0,0.0
ADORA2A,0.0,0.0,1.0,1.0,0.0
ADORA3,0.0,0.0,1.0,1.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
CHRM2,0.0,1.0,1.0,0.0,0.0
GALR1,1.0,0.0,0.0,0.0,0.0
MTNR1A,1.0,0.0,0.0,0.0,0.0
EDNRA,1.0,0.0,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
PTGER1,0.0,1.0,0.0,0.0,1.0
NTSR1,1.0,0.0,0.0,0.0,0.0
OXTR,0.0,1.0,0.0,0.0,0.0
CCKAR,0.0,0.0,1.0,1.0,0.0
CXCR4,1.0,0.0,0.0,0.0,0.0
