GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
SUCNR1,1.0,1.0,0.0,0.0,0.0
HTR1F,1.0,0.0,1.0,0.0,0.0
HTR2B,1.0,1.0,1.0,0.0,0.0
HTR4,0.0,0.0,1.0,1.0,0.0
HTR5A,1.0,0.0,0.0,0.0,0.0
ADRB1,0.0,0.0,1.0,1.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
CHRM1,1.0,0.0,1.0,0.0,0.0
CHRM3,1.0,0.0,1.0,0.0,0.0
CHRM5,1.0,0.0,1.0,0.0,0.0
HRH3,1.0,0.0,1.0,0.0,0.0
EDNRA,1.0,1.0,1.0,0.0,1.0
AVPR1A,1.0,1.0,1.0,0.0,0.0
MC5R,1.0,0.0,1.0,1.0,0.0
TACR2,1.0,1.0,1.0,0.0,1.0
PTGDR2,1.0,0.0,0.0,0.0,0.0
LPAR3,1.0,1.0,1.0,0.0,0.0
HCRTR1,1.0,0.0,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
