GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
GPR52,0.4,0.0,0.0,0.6,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR2B,0.0,1.0,0.0,0.0,0.0
HTR7,1.0,0.0,0.0,0.0,0.0
ADORA1,0.8,0.0,1.0,0.2,0.0
ADORA2A,0.0,0.0,1.0,1.0,0.0
ADRA1D,0.0,0.9,0.7,0.1,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
DRD1,0.1,0.0,0.7,0.9,0.0
GALR3,0.3,0.7,0.0,0.0,0.0
CNR1,1.0,0.1,0.0,0.0,0.0
GRPR,0.3,1.0,0.0,0.0,0.0
AVPR1B,0.0,0.6,0.4,0.4,0.0
NPY1R,0.7,0.3,0.0,0.0,0.3
NPY5R,1.0,0.0,0.0,0.0,0.0
TACR2,0.0,1.0,0.0,0.0,0.8
PTGER4,0.0,0.2,0.2,0.8,0.0
PTGDR,0.4,0.1,0.1,0.5,0.0
OXTR,0.1,0.8,0.2,0.2,0.0
