GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR2C,0.0,1.0,0.0,0.0,0.0
ADRA1A,0.0,1.0,0.0,0.0,0.0
ADRB1,0.0,0.0,0.0,1.0,0.0
ADRB3,0.0,0.0,0.0,1.0,0.0
DRD1,0.0,0.0,1.0,1.0,0.0
CHRM5,0.0,1.0,1.0,0.0,0.0
GALR1,1.0,0.0,0.0,0.0,0.0
GALR3,1.0,0.0,0.0,0.0,0.0
MTNR1B,1.0,0.0,0.0,0.0,0.0
EDNRB,1.0,1.0,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
NPY1R,1.0,0.0,0.0,0.0,0.0
NPY2R,1.0,0.0,0.0,0.0,0.0
TACR3,0.0,1.0,0.0,0.0,1.0
FFAR1,1.0,0.0,0.0,0.0,0.0
FFAR4,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
CCKBR,1.0,1.0,0.0,0.0,0.0
SSTR2,1.0,0.0,0.0,0.0,0.0
