GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR2B,1.0,0.0,0.0,0.0,0.0
HTR2C,1.0,0.0,0.0,0.0,0.0
ADORA3,1.0,0.0,0.0,0.0,0.0
ADRA1D,0.0,1.0,1.0,0.0,0.0
CHRM1,0.0,1.0,1.0,0.0,0.0
CHRM3,0.0,1.0,1.0,0.0,0.0
HRH2,0.0,0.0,0.0,1.0,0.0
MTNR1A,1.0,0.0,0.0,0.0,0.0
APLNR,1.0,0.0,0.0,0.0,0.0
AVPR1A,0.0,1.0,0.0,0.0,0.0
MC3R,0.0,0.0,0.0,1.0,0.0
MC4R,0.0,0.0,0.0,1.0,0.0
NPY2R,0.0,1.0,0.0,0.0,0.0
NPY5R,1.0,1.0,0.0,0.0,0.0
TACR2,0.0,1.0,0.0,0.0,1.0
PTGER3,0.0,1.0,0.0,0.0,1.0
LPAR1,1.0,1.0,0.0,0.0,0.0
SSTR2,1.0,0.0,0.0,0.0,0.0
