GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR4,0.0,0.0,1.0,1.0,0.0
HTR6,0.0,0.0,1.0,1.0,0.0
ADORA1,1.0,0.0,1.0,0.0,0.0
ADORA2A,0.0,0.0,1.0,1.0,0.0
ADRA1A,0.0,0.0,1.0,1.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
DRD1,0.0,0.0,1.0,1.0,0.0
DRD5,0.0,0.0,0.0,1.0,0.0
GALR1,1.0,0.0,0.0,0.0,0.0
EDNRA,1.0,0.0,0.0,0.0,0.0
APLNR,1.0,0.0,0.0,0.0,0.0
AVPR2,0.0,1.0,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
MC4R,0.0,0.0,0.0,1.0,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
FFAR4,1.0,0.0,0.0,0.0,0.0
LPAR2,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
CCKBR,1.0,1.0,0.0,0.0,0.0
