GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
SUCNR1,1.0,0.0,0.0,0.0,0.0
OXGR1,0.8,0.2,0.0,0.0,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR2A,0.3,0.7,0.0,0.0,0.0
HTR4,0.0,0.0,0.9,1.0,0.0
HTR6,0.0,0.0,0.9,1.0,0.0
HTR7,1.0,0.0,0.0,0.0,0.0
ADORA1,0.0,1.0,1.0,0.0,0.0
ADORA3,0.7,0.1,0.3,0.2,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
HRH1,1.0,0.0,0.0,0.0,0.0
OPRK1,0.9,0.0,0.1,0.1,0.0
EDNRA,1.0,0.0,0.0,0.0,0.0
APLNR,1.0,0.0,0.0,0.0,0.0
TACR2,0.0,1.0,0.0,0.0,1.0
PTGER1,0.0,1.0,0.0,0.0,1.0
PTGDR,0.0,0.0,0.0,1.0,0.0
FFAR1,0.9,0.0,0.0,0.1,0.0
