GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
SUCNR1,1.0,0.0,0.0,0.0,0.0
OXGR1,1.0,0.0,1.0,0.0,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR2A,0.0,1.0,0.0,0.0,0.0
HTR4,0.0,0.0,1.0,1.0,0.0
HTR6,0.0,0.0,1.0,1.0,0.0
HTR7,1.0,0.0,0.0,0.0,0.0
ADORA1,1.0,1.0,1.0,0.0,0.0
ADORA3,1.0,0.0,1.0,0.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
HRH1,1.0,0.0,0.0,0.0,0.0
OPRK1,1.0,0.0,1.0,0.0,0.0
EDNRA,1.0,1.0,1.0,0.0,1.0
APLNR,1.0,0.0,0.0,0.0,0.0
TACR2,1.0,1.0,1.0,0.0,1.0
PTGER1,0.0,1.0,1.0,0.0,1.0
PTGDR,0.0,0.0,1.0,1.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
