GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1B,1.0,0.0,0.0,0.0,0.0
HTR1D,1.0,0.0,0.0,0.0,0.0
HTR5A,1.0,0.0,0.0,0.0,0.0
ADORA1,0.0,0.0,1.0,1.0,0.0
ADRA1A,1.0,0.0,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0,1.0,0.0
ADRA1D,0.0,0.0,1.0,1.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
GALR1,1.0,0.0,0.0,0.0,0.0
AVPR1B,0.0,1.0,0.0,0.0,0.0
MC1R,1.0,0.0,0.0,1.0,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
NPY2R,1.0,0.0,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
PTGDR2,1.0,0.0,0.0,0.0,0.0
LPAR1,1.0,1.0,0.0,0.0,0.0
SSTR3,1.0,0.0,0.0,0.0,0.0
SSTR5,1.0,0.0,0.0,0.0,0.0
KISS1R,1.0,0.0,0.0,0.0,0.0
