GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
GPR52,0.1,0.2,0.8,0.7,0.0
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR2B,1.0,0.0,0.0,0.0,0.0
HTR2C,1.0,0.0,0.0,0.0,0.0
ADORA1,0.3,0.6,0.7,0.1,0.0
ADORA2A,0.3,0.0,0.1,0.7,0.0
ADORA2B,0.1,0.1,0.8,0.9,0.0
ADORA3,0.6,0.1,0.4,0.3,0.0
CNR1,1.0,0.4,0.0,0.0,0.0
AVPR1A,0.8,0.2,0.0,0.0,0.0
AVPR1B,0.8,0.4,0.2,0.2,0.0
AVPR2,1.0,0.6,0.0,0.0,0.0
MC1R,0.0,0.9,0.1,0.1,0.0
MC3R,0.3,0.7,0.7,0.0,0.0
MC4R,0.4,0.6,0.1,0.0,0.0
MC5R,0.8,0.2,0.2,0.0,0.0
NPY5R,1.0,0.2,0.0,0.0,0.0
FFAR1,0.7,0.0,0.0,0.3,0.0
FFAR4,1.0,0.7,0.0,0.0,0.0
OXTR,1.0,0.1,0.0,0.0,0.0
