GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
OXGR1,1.0,0.0,0.0,0.0,0.0
HTR1F,1.0,0.0,0.0,0.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
ADRA2C,1.0,0.0,0.0,0.0,0.0
DRD1,0.0,0.0,1.0,1.0,0.0
DRD4,1.0,0.0,0.0,0.0,0.0
HRH3,0.0,1.0,1.0,0.0,0.0
MTNR1B,1.0,0.0,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
MC1R,1.0,0.0,0.0,1.0,0.0
NPY2R,1.0,0.0,0.0,0.0,0.0
PTGER1,0.0,0.0,0.0,1.0,0.0
FFAR4,1.0,0.0,0.0,0.0,0.0
LPAR3,1.0,0.0,0.0,0.0,0.0
HCRTR2,0.0,1.0,0.0,0.0,0.0
CXCR4,1.0,0.0,0.0,0.0,0.0
SSTR3,1.0,0.0,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
