GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1D,1.0,0.0,0.0,0.0,0.0
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR6,0.0,0.0,1.0,1.0,0.0
ADORA2A,0.0,0.0,1.0,1.0,0.0
ADRA1A,0.0,1.0,0.0,0.0,0.0
ADRA1B,0.0,1.0,0.0,0.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,1.0,1.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
DRD4,1.0,0.0,0.0,0.0,0.0
DRD5,0.0,0.0,0.0,1.0,0.0
CHRM2,1.0,0.0,0.0,0.0,0.0
MTNR1B,1.0,0.0,0.0,0.0,0.0
CNR1,1.0,0.0,0.0,0.0,0.0
AVPR1A,0.0,1.0,0.0,0.0,0.0
AVPR1B,0.0,1.0,0.0,0.0,0.0
TACR1,0.0,1.0,0.0,0.0,0.0
TACR3,0.0,1.0,0.0,0.0,0.0
SSTR3,1.0,0.0,0.0,0.0,0.0
