GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1A,1.0,0.0,0.7,0.0,0.0
HTR1B,0.8,0.0,1.0,0.2,0.0
HTR1D,0.1,0.0,0.9,1.0,0.0
HTR1E,1.0,0.0,0.7,0.0,0.0
HTR1F,1.0,0.0,0.0,0.9,0.0
HTR2A,1.0,0.0,0.8,0.0,0.0
HTR2B,0.2,0.0,0.8,0.8,0.0
HTR2C,1.0,0.0,0.0,0.0,0.0
HTR4,0.5,0.2,0.8,0.3,0.0
HTR5A,1.0,0.0,0.0,0.0,0.0
HTR6,0.2,0.0,0.8,0.8,0.0
HTR7,0.0,0.0,1.0,1.0,0.0
ADRA1A,1.0,0.0,0.0,0.0,0.0
ADRA1B,1.0,0.0,0.0,0.0,0.0
ADRA1D,1.0,0.0,0.0,0.0,0.0
ADRA2A,0.2,0.0,0.8,0.8,0.0
ADRA2B,0.2,0.0,0.9,0.8,0.0
ADRA2C,1.0,0.0,0.0,0.0,0.0
ADRB1,0.0,0.0,1.0,1.0,0.0
ADRB2,0.2,0.0,0.8,0.8,0.0
ADRB3,1.0,0.2,0.0,0.0,0.0
DRD1,1.0,0.0,0.0,0.2,0.0
DRD2,0.9,0.0,0.2,0.1,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
DRD4,0.8,0.0,0.2,0.2,0.0
DRD5,0.7,0.0,0.3,0.3,0.0
CHRM1,1.0,0.0,0.2,0.0,0.0
CHRM2,1.0,0.0,1.0,0.0,0.0
CHRM3,0.3,0.0,0.7,0.9,0.0
CHRM4,1.0,0.0,0.8,0.0,0.0
CHRM5,0.1,0.0,0.9,0.9,0.0
HRH1,1.0,0.0,0.0,0.0,0.0
HRH2,0.1,0.0,0.9,0.9,0.0
HRH3,0.0,0.0,1.0,1.0,0.0
MTNR1A,1.0,0.3,0.0,0.0,0.0
MTNR1B,1.0,0.1,0.0,0.0,0.0
EDNRA,0.2,0.8,0.2,0.0,0.0
EDNRB,0.0,1.0,0.0,0.0,0.0
PTGDR2,1.0,0.0,0.0,0.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
LPAR1,0.8,0.0,0.2,0.2,0.0
LPAR2,1.0,0.0,0.0,0.1,0.0
LPAR3,1.0,0.0,0.0,0.1,0.0
NTSR1,1.0,0.8,0.0,0.0,0.0
