GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
HTR1A,0.0,0.0,1.0,1.0,0.0
HTR1B,1.0,0.0,0.0,1.0,0.0
HTR1E,1.0,0.0,0.0,1.0,0.0
HTR5A,1.0,0.0,0.0,1.0,0.0
ADRA2A,1.0,0.0,1.0,0.0,0.0
ADRB1,0.0,0.0,1.0,1.0,0.0
ADRB2,1.0,0.0,1.0,1.0,1.0
ADRB3,0.0,0.0,1.0,1.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
CHRM1,1.0,0.0,1.0,0.0,0.0
CHRM2,1.0,0.0,1.0,0.0,0.0
CHRM3,1.0,0.0,1.0,0.0,0.0
CHRM5,1.0,0.0,1.0,0.0,0.0
MTNR1A,1.0,0.0,1.0,0.0,0.0
OPRK1,1.0,0.0,1.0,0.0,0.0
AVPR1A,1.0,1.0,1.0,0.0,0.0
NPFFR1,1.0,1.0,1.0,0.0,1.0
NTSR1,1.0,1.0,0.0,0.0,0.0
SSTR2,1.0,0.0,1.0,0.0,0.0
