GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
SUCNR1,1.0,0.4,0.0,0.0,0.0
HTR1F,1.0,0.0,0.0,0.0,0.0
HTR2B,0.2,0.8,0.0,0.0,0.0
HTR4,0.0,0.0,0.9,1.0,0.0
HTR5A,1.0,0.0,0.0,0.0,0.0
ADRB1,0.0,0.0,0.1,1.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
CHRM1,1.0,0.0,0.0,0.0,0.0
CHRM3,1.0,0.0,0.0,0.0,0.0
CHRM5,1.0,0.0,0.0,0.0,0.0
HRH3,1.0,0.0,0.0,0.0,0.0
EDNRA,0.7,0.3,0.0,0.0,0.0
AVPR1A,0.1,0.9,0.0,0.0,0.0
MC5R,0.8,0.0,0.2,1.0,0.0
TACR2,0.1,0.9,0.0,0.0,0.9
PTGDR2,1.0,0.0,0.0,0.0,0.0
LPAR3,0.9,1.0,0.1,0.0,0.0
HCRTR1,0.9,0.1,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
