GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1A,1.0,0.0,0.0,0.0,0.0
HTR1D,1.0,0.0,0.0,0.0,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR1F,1.0,0.0,0.0,0.0,0.0
HTR4,0.0,0.0,1.0,1.0,0.0
HTR7,1.0,0.0,0.0,0.0,0.0
ADORA2B,0.0,0.0,1.0,1.0,0.0
ADRB1,0.0,0.0,0.0,1.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
EDNRA,0.0,1.0,0.0,0.0,0.0
APLNR,1.0,0.0,0.0,0.0,0.0
BRS3,0.0,1.0,0.0,0.0,0.0
AVPR1A,0.0,1.0,0.0,0.0,0.0
MC1R,0.0,1.0,0.0,0.0,0.0
MC5R,1.0,0.0,0.0,0.0,0.0
PTGER3,0.0,1.0,0.0,0.0,1.0
HCRTR1,1.0,0.0,0.0,0.0,0.0
SSTR3,1.0,0.0,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
