GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
SUCNR1,1.0,0.0,0.0,0.0,0.0
HTR1A,1.0,0.0,0.0,0.0,0.0
HTR1B,1.0,0.0,0.0,0.0,0.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR1F,1.0,0.0,0.0,0.0,0.0
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR4,0.0,0.0,1.0,1.0,0.0
ADRA1A,0.0,1.0,0.0,0.0,0.0
DRD2,1.0,0.0,0.0,0.0,0.0
DRD3,1.0,0.0,0.0,0.0,0.0
GALR3,0.0,1.0,0.0,0.0,0.0
APLNR,1.0,0.0,0.0,0.0,0.0
BRS3,0.0,1.0,0.0,0.0,0.0
NPY1R,1.0,0.0,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
PTGER2,0.0,0.0,0.0,1.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
HCRTR2,0.0,1.0,0.0,0.0,0.0
