GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
ADORA1,0.6,0.3,0.4,0.1,0.0
ADORA2A,0.0,0.0,0.2,1.0,0.0
ADORA2B,0.0,0.0,0.9,1.0,0.0
ADORA3,0.6,0.1,0.3,0.3,0.0
MTNR1A,0.9,0.1,0.1,0.0,0.0
MTNR1B,0.9,0.1,0.1,0.0,0.0
CNR1,1.0,0.3,0.0,0.0,0.0
EDNRA,0.2,0.8,0.0,0.0,0.0
EDNRB,0.0,1.0,0.0,0.0,0.0
AVPR1A,0.9,0.3,0.0,0.0,0.0
AVPR1B,1.0,0.4,0.0,0.0,0.0
AVPR2,1.0,0.4,0.0,0.0,0.0
MC1R,0.0,0.5,0.4,0.5,0.0
MC3R,0.3,0.5,0.5,0.2,0.0
MC4R,0.3,0.7,0.0,0.0,0.0
MC5R,1.0,0.0,0.0,0.0,0.0
NPY5R,1.0,0.1,0.0,0.0,0.0
FFAR1,0.8,0.1,0.0,0.1,0.0
FFAR4,1.0,0.5,0.0,0.0,0.0
OXTR,1.0,0.4,0.0,0.0,0.0
