GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
HTR1F,1.0,0.0,0.0,0.0,0.0
HTR2C,0.0,1.0,0.0,0.0,0.0
ADRA2C,1.0,0.0,0.0,0.0,0.0
OPRK1,1.0,0.0,0.0,0.0,0.0
EDNRA,1.0,0.0,0.0,0.0,0.0
GRPR,0.0,1.0,0.0,0.0,0.0
AVPR1B,0.0,1.0,0.0,0.0,0.0
MC3R,1.0,0.0,0.0,1.0,0.0
MC5R,1.0,0.0,0.0,1.0,0.0
NPFFR1,0.0,1.0,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
PTGER2,0.0,0.0,0.0,1.0,0.0
PTGDR,0.0,0.0,0.0,1.0,0.0
TBXA2R,0.0,1.0,1.0,0.0,0.0
SSTR2,1.0,0.0,0.0,0.0,0.0
SSTR3,1.0,0.0,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
SSTR5,1.0,0.0,0.0,0.0,0.0
KISS1R,1.0,0.0,0.0,0.0,0.0
