GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
OXGR1,1.0,0.0,0.0,0.0,0.0
HTR2A,0.0,1.0,0.0,0.0,0.0
HTR5A,0.9,0.0,0.0,0.1,0.0
ADORA3,0.0,0.0,1.0,1.0,0.0
ADRA1A,0.0,1.0,1.0,0.0,0.0
ADRA2B,1.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,1.0,1.0,0.0
DRD4,0.9,0.0,0.1,0.1,0.0
GALR1,0.8,0.2,0.0,0.0,0.0
OPRD1,1.0,0.0,0.0,0.0,0.0
EDNRB,1.0,0.7,0.0,0.0,0.0
GRPR,1.0,0.6,0.0,0.0,0.0
BRS3,1.0,0.8,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
NPFFR1,0.2,0.8,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
LPAR3,1.0,0.2,0.0,0.0,0.0
CXCR4,1.0,0.0,0.0,0.0,0.0
SSTR2,1.0,0.0,0.0,0.0,0.0
