GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
GPR52,0.0,0.0,1.0,1.0,0.0
SUCNR1,0.0,1.0,0.0,0.0,0.0
OXGR1,1.0,1.0,0.0,0.0,0.0
ADORA1,0.0,1.0,1.0,0.0,0.0
ADORA2A,0.0,0.0,0.0,1.0,0.0
ADORA2B,0.0,0.0,1.0,1.0,0.0
ADORA3,1.0,0.0,0.0,0.0,0.0
GALR1,1.0,0.0,0.0,0.0,0.0
GALR3,0.0,1.0,0.0,0.0,0.0
OPRD1,0.0,1.0,0.0,0.0,0.0
OPRK1,1.0,0.0,0.0,0.0,0.0
GRPR,1.0,1.0,0.0,0.0,0.0
APLNR,0.0,0.0,0.0,1.0,0.0
BRS3,1.0,0.0,0.0,0.0,0.0
BDKRB2,1.0,0.0,0.0,0.0,0.0
NPFFR1,1.0,0.0,0.0,0.0,0.0
NPY1R,1.0,0.0,0.0,0.0,0.0
NPY2R,1.0,0.0,0.0,0.0,0.0
NPY4R,1.0,0.0,0.0,0.0,0.0
TACR1,1.0,0.0,0.0,0.0,0.0
TACR2,0.0,1.0,0.0,0.0,0.0
TACR3,0.0,0.0,1.0,1.0,0.0
HCRTR1,0.0,1.0,0.0,0.0,0.0
HCRTR2,0.0,0.0,0.0,1.0,0.0
CCKAR,1.0,0.0,0.0,0.0,0.0
CCKBR,0.0,0.0,0.0,1.0,0.0
CXCR4,0.0,0.0,0.0,1.0,0.0
SSTR1,0.0,1.0,0.0,0.0,0.0
SSTR2,0.0,1.0,0.0,0.0,0.0
SSTR3,0.0,1.0,0.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
SSTR5,1.0,0.0,0.0,0.0,0.0
KISS1R,0.0,1.0,1.0,0.0,0.0
