GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR2B,1.0,0.0,1.0,0.0,0.0
HTR2C,1.0,0.0,1.0,0.0,0.0
ADORA1,1.0,1.0,1.0,0.0,0.0
ADORA2A,1.0,0.0,0.0,1.0,0.0
ADORA2B,1.0,0.0,1.0,1.0,0.0
ADORA3,1.0,0.0,1.0,0.0,0.0
MTNR1A,1.0,0.0,1.0,0.0,0.0
MTNR1B,1.0,0.0,1.0,0.0,0.0
MC1R,0.0,0.0,1.0,1.0,0.0
MC3R,0.0,1.0,1.0,0.0,0.0
MC4R,0.0,1.0,1.0,1.0,0.0
MC5R,0.0,0.0,1.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
PTGDR2,1.0,0.0,0.0,0.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
LPAR1,1.0,0.0,0.0,0.0,0.0
LPAR2,0.0,1.0,1.0,0.0,0.0
LPAR3,0.0,1.0,1.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
